yourlist:M20220122F248CABF64506F29A91F8037F07B67D13DFE271	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
PFX21915.1	A0A2B4S093	A0A2B4S093_STYPI	unreviewed	Tigger transposable element-derived protein 4	Tigd4 AWC38_SpisGene13574	Stylophora pistillata (Smooth cauliflower coral)	415	DNA binding [GO:0003677]	GO:0003677
PFX13228.1	A0A2B4RA16	A0A2B4RA16_STYPI	unreviewed	Nephrocystin-3	nphp3 AWC38_SpisGene22709	Stylophora pistillata (Smooth cauliflower coral)	1952		
RMX54291.1	A0A3M6UKV0	A0A3M6UKV0_POCDA	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment)	pdam_00011976	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	620	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; hydrolase activity [GO:0016787]	GO:0004930; GO:0005576; GO:0016021; GO:0016787
RMX39618.1	A0A3M6TE45	A0A3M6TE45_POCDA	unreviewed	Uncharacterized protein	pdam_00003962	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1417		
RMX53889.1	A0A3M6UJZ7	A0A3M6UJZ7_POCDA	unreviewed	Uncharacterized protein	pdam_00022358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	958		
RMX45133.1	A0A3M6TUQ6	A0A3M6TUQ6_POCDA	unreviewed	Protein kinase domain-containing protein (Fragment)	pdam_00016501	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1124	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
RMX40475.1	A0A3M6TGE9	A0A3M6TGE9_POCDA	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00018832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	503	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
RMX37173.1	A0A3M6T778	A0A3M6T778_POCDA	unreviewed	Uncharacterized protein	pdam_00010691	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	841	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	GO:0005886; GO:0016021
RMX45632.1	A0A3M6TW64	A0A3M6TW64_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00010605	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1159		
RMX55725.1	A0A3M6UQ24	A0A3M6UQ24_POCDA	unreviewed	G protein-coupled receptor kinase (EC 2.7.11.-)	pdam_00016053	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	540	ATP binding [GO:0005524]; G protein-coupled receptor kinase activity [GO:0004703]; signal transduction [GO:0007165]	GO:0004703; GO:0005524; GO:0007165
RMX54204.1	A0A3M6UL17	A0A3M6UL17_POCDA	unreviewed	Uncharacterized protein	pdam_00013649	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	264		
PFX25573.1	A0A2B4S972	A0A2B4S972_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene9792	Stylophora pistillata (Smooth cauliflower coral)	68	integral component of membrane [GO:0016021]	GO:0016021
RMX51793.1	A0A3M6UDN5	A0A3M6UDN5_POCDA	unreviewed	Uncharacterized protein	pdam_00011664	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1050	integral component of membrane [GO:0016021]	GO:0016021
RMX47645.1	A0A3M6U1S8	A0A3M6U1S8_POCDA	unreviewed	Uncharacterized protein	pdam_00019130	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	410		
PFX22024.1	A0A2B4RUA6	A0A2B4RUA6_STYPI	unreviewed	Sodium-and chloride-dependent GABA transporter 2	Slc6a13 AWC38_SpisGene13460	Stylophora pistillata (Smooth cauliflower coral)	474	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]	GO:0015293; GO:0016021
EDO38265.1	A7SDI3	A7SDI3_NEMVE	unreviewed	Predicted protein	v1g210606	Nematostella vectensis (Starlet sea anemone)	494	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]; metal ion binding [GO:0046872]	GO:0003824; GO:0016021; GO:0046872
CAC5412513.1	A0A6J8DXM1	A0A6J8DXM1_MYTCO	unreviewed	Metalloendopeptidase (EC 3.4.24.-)	MCOR_45486	Mytilus coruscus (Sea mussel)	564	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270
RMX52850.1	A0A3M6UGP6	A0A3M6UGP6_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00011315	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	806	membrane [GO:0016020]	GO:0016020
PFX13249.1	A0A2B4R8V5	A0A2B4R8V5_STYPI	unreviewed	Reverse transcriptase	pol AWC38_SpisGene22685	Stylophora pistillata (Smooth cauliflower coral)	1765	nucleic acid binding [GO:0003676]	GO:0003676
VDI71178.1	A0A8B6GZJ2	A0A8B6GZJ2_MYTGA	unreviewed	Uncharacterized protein	MGAL_10B037606	Mytilus galloprovincialis (Mediterranean mussel)	704		
KAF5278049.1	A0A7J6Z9F9	A0A7J6Z9F9_9COLE	unreviewed	Uncharacterized protein	FQA39_LY18403	Lamprigera yunnana	905	integral component of membrane [GO:0016021]	GO:0016021
RMX37666.1	A0A3M6T8D1	A0A3M6T8D1_POCDA	unreviewed	Uncharacterized protein	pdam_00004327	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2585	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; serine-type peptidase activity [GO:0008236]	GO:0005509; GO:0005576; GO:0008236
PFX21948.1	A0A2B4S052	A0A2B4S052_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13542	Stylophora pistillata (Smooth cauliflower coral)	245		
PFX23019.1	A0A2B4S1U3	A0A2B4S1U3_STYPI	unreviewed	Serine/threonine-protein kinase PDIK1L	Pdik1l AWC38_SpisGene12435	Stylophora pistillata (Smooth cauliflower coral)	804	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
PFX21867.1	A0A2B4RZV8	A0A2B4RZV8_STYPI	unreviewed	Gamma-aminobutyric acid receptor subunit rho-2	GABRR2 AWC38_SpisGene13648	Stylophora pistillata (Smooth cauliflower coral)	1025	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021
RMX44745.1	A0A3M6TTN2	A0A3M6TTN2_POCDA	unreviewed	Uncharacterized protein	pdam_00009165	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	87		
RMX46592.1	A0A3M6TYX7	A0A3M6TYX7_POCDA	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00019726	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	395	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
TRY78828.1	A0A553PMB6	A0A553PMB6_TIGCA	unreviewed	Histone H4 (Fragment)	TCAL_12416	Tigriopus californicus (Marine copepod)	301	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0005634; GO:0046982
PFX25791.1	A0A2B4S7B2	A0A2B4S7B2_STYPI	unreviewed	Metabotropic glutamate receptor 3	Grm3 AWC38_SpisGene9573	Stylophora pistillata (Smooth cauliflower coral)	1644	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021
PFX21522.1	A0A2B4RZ54	A0A2B4RZ54_STYPI	unreviewed	Uncharacterized protein	PAT23 AWC38_SpisGene14006	Stylophora pistillata (Smooth cauliflower coral)	421	integral component of membrane [GO:0016021]	GO:0016021
RMX56297.1	A0A3M6URW0	A0A3M6URW0_POCDA	unreviewed	PABS domain-containing protein	pdam_00011451	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	342	spermine synthase activity [GO:0016768]; spermine biosynthetic process [GO:0006597]	GO:0006597; GO:0016768
KRY88202.1	A0A0V1FQ91	A0A0V1FQ91_TRIPS	unreviewed	Uncharacterized protein	T4D_3770	Trichinella pseudospiralis (Parasitic roundworm)	216		
EDO32449.1	A7SUZ9	A7SUZ9_NEMVE	unreviewed	Predicted protein (Fragment)	v1g133489	Nematostella vectensis (Starlet sea anemone)	163		
PFX30625.1	A0A2B4SQG0	A0A2B4SQG0_STYPI	unreviewed	Folate_rec domain-containing protein	AWC38_SpisGene25760	Stylophora pistillata (Smooth cauliflower coral)	192		
PFX19302.1	A0A2B4RSU8	A0A2B4RSU8_STYPI	unreviewed	Polyubiquitin-C	UBC AWC38_SpisGene16298	Stylophora pistillata (Smooth cauliflower coral)	1518	metal ion binding [GO:0046872]	GO:0046872
RMX49251.1	A0A3M6U6L1	A0A3M6U6L1_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00013578	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	354	integral component of membrane [GO:0016021]	GO:0016021
RMX48543.1	A0A3M6U4D8	A0A3M6U4D8_POCDA	unreviewed	Uncharacterized protein	pdam_00024734	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	175		
PFX12956.1	A0A2B4R716	A0A2B4R716_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene23008	Stylophora pistillata (Smooth cauliflower coral)	839	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
PVD37563.1	A0A2T7PVX3	A0A2T7PVX3_POMCA	unreviewed	SRCR domain-containing protein	C0Q70_00159	Pomacea canaliculata (Golden apple snail)	1849	integral component of membrane [GO:0016021]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016021
RMX56353.1	A0A3M6URK9	A0A3M6URK9_POCDA	unreviewed	Uncharacterized protein	pdam_00004448	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	300	integral component of membrane [GO:0016021]	GO:0016021
PFX21159.1	A0A2B4RWG3	A0A2B4RWG3_STYPI	unreviewed	Dynein light chain roadblock-type 2	DYNLRB2 AWC38_SpisGene14365	Stylophora pistillata (Smooth cauliflower coral)	675		
RMX50692.1	A0A3M6UAI5	A0A3M6UAI5_POCDA	unreviewed	Uncharacterized protein	pdam_00013221	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	389		
PFX17026.1	A0A2B4RIL4	A0A2B4RIL4_STYPI	unreviewed	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	Parp14 AWC38_SpisGene18671	Stylophora pistillata (Smooth cauliflower coral)	608	NAD+ ADP-ribosyltransferase activity [GO:0003950]	GO:0003950
RMX43697.1	A0A3M6TQI1	A0A3M6TQI1_POCDA	unreviewed	Uncharacterized protein	pdam_00006370	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	366	integral component of membrane [GO:0016021]	GO:0016021
RMX41082.1	A0A3M6TI44	A0A3M6TI44_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00003234	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	720	oxidoreductase activity [GO:0016491]	GO:0016491
GBG72245.1	A0A388KQB8	A0A388KQB8_CHABU	unreviewed	Uncharacterized protein	CBR_g11175	Chara braunii (Braun's stonewort)	278		
PFX12307.1	A0A2B4R7H4	A0A2B4R7H4_STYPI	unreviewed	C2H2-type domain-containing protein	AWC38_SpisGene23758	Stylophora pistillata (Smooth cauliflower coral)	923		
OLQ02124.1	A0A1Q9E3X0	A0A1Q9E3X0_SYMMI	unreviewed	ABC transmembrane type-1 domain-containing protein	AK812_SmicGene15062	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3216	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; nucleotide transport [GO:0006862]	GO:0006862; GO:0016021; GO:0022857
PFX24673.1	A0A2B4S6K8	A0A2B4S6K8_STYPI	unreviewed	Ubiquitin-activating enzyme E1 (EC 6.2.1.45)	UBA1 AWC38_SpisGene10724	Stylophora pistillata (Smooth cauliflower coral)	2046	ATP binding [GO:0005524]; ubiquitin activating enzyme activity [GO:0004839]	GO:0004839; GO:0005524
NXG06344.1	A0A7K8YS38	A0A7K8YS38_9PASS	unreviewed	Cathepsin X (EC 3.4.18.1) (Fragment)	Ctsz SAKLUC_R13889	Sakesphorus luctuosus	141	cysteine-type peptidase activity [GO:0008234]	GO:0008234
PFX14565.1	A0A2B4RE63	A0A2B4RE63_STYPI	unreviewed	Integrase/recombinase xerD-like	xerD AWC38_SpisGene21267	Stylophora pistillata (Smooth cauliflower coral)	529	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
PFX25522.1	A0A2B4SAG4	A0A2B4SAG4_STYPI	unreviewed	LYR motif-containing protein 5	Lyrm5 AWC38_SpisGene9829	Stylophora pistillata (Smooth cauliflower coral)	86		
RMX59107.1	A0A3M6UZQ9	A0A3M6UZQ9_POCDA	unreviewed	Uncharacterized protein	pdam_00009790	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1190		
PFX16148.1	A0A2B4RIF0	A0A2B4RIF0_STYPI	unreviewed	Fibrillin-2 (Fragment)	Fbn2 AWC38_SpisGene19598	Stylophora pistillata (Smooth cauliflower coral)	3483	calcium ion binding [GO:0005509]	GO:0005509
RMX48106.1	A0A3M6U3E0	A0A3M6U3E0_POCDA	unreviewed	SMC hinge domain-containing protein	pdam_00002687	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1884	chromosome [GO:0005694]; ATP binding [GO:0005524]; chromosome organization [GO:0051276]; double-strand break repair [GO:0006302]	GO:0005524; GO:0005694; GO:0006302; GO:0051276
RMX41224.1	A0A3M6TIZ5	A0A3M6TIZ5_POCDA	unreviewed	AB hydrolase-1 domain-containing protein	pdam_00013263	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	355		
PFX15520.1	A0A2B4RGB5	A0A2B4RGB5_STYPI	unreviewed	A disintegrin and metalloproteinase with thrombospondin motifs 12	ADAMTS12 AWC38_SpisGene20256	Stylophora pistillata (Smooth cauliflower coral)	2080	extracellular region [GO:0005576]; Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; fucosyltransferase activity [GO:0008417]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; integrin-mediated signaling pathway [GO:0007229]; protein glycosylation [GO:0006486]	GO:0004222; GO:0005576; GO:0006486; GO:0007229; GO:0008417; GO:0016021; GO:0032580; GO:0046872
QAA95957.1	A0A451FTD7	A0A451FTD7_ASTRU	unreviewed	Soluble SRCR-related protein	SSRR	Asterias rubens (Common European starfish) (Asterias vulgaris)	1529	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020
RMX40552.1	A0A3M6TGM8	A0A3M6TGM8_POCDA	unreviewed	Uncharacterized protein	pdam_00007466	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	838		
PFX30368.1	A0A2B4SP67	A0A2B4SP67_STYPI	unreviewed	Calcium-responsive transcription factor	Carf AWC38_SpisGene4848	Stylophora pistillata (Smooth cauliflower coral)	913	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; positive regulation of transcription from RNA polymerase II promoter in response to calcium ion [GO:0061400]	GO:0003700; GO:0046872; GO:0061400
PFX25107.1	A0A2B4S937	A0A2B4S937_STYPI	unreviewed	Calcium-dependent secretion activator 1	Cadps AWC38_SpisGene10248	Stylophora pistillata (Smooth cauliflower coral)	1160	cytoplasmic vesicle [GO:0031410]; presynapse [GO:0098793]; metal ion binding [GO:0046872]; dense core granule exocytosis [GO:1990504]; protein transport [GO:0015031]; synaptic vesicle exocytosis [GO:0016079]	GO:0015031; GO:0016079; GO:0031410; GO:0046872; GO:0098793; GO:1990504
PFX27225.1	A0A2B4SFK7	A0A2B4SFK7_STYPI	unreviewed	Voltage-dependent calcium channel subunit alpha-2/delta-2	Cacna2d2 AWC38_SpisGene8088	Stylophora pistillata (Smooth cauliflower coral)	1606	integral component of membrane [GO:0016021]; endonuclease activity [GO:0004519]	GO:0004519; GO:0016021
