yourlist:M20220121A084FC58F6BBA219896F365D15F2EB443D8165V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
XP_031562542.1	A0A6P8IB31	A0A6P8IB31_ACTTE	unreviewed	pyroglutamylated RF-amide peptide receptor-like	LOC116298289	Actinia tenebrosa (Australian red waratah sea anemone)	400	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
XP_031562198.1	A0A6P8I2Z2	A0A6P8I2Z2_ACTTE	unreviewed	uncharacterized protein LOC116297997	LOC116297997	Actinia tenebrosa (Australian red waratah sea anemone)	542	nucleus [GO:0005634]	GO:0005634
XP_031571673.1	A0A6P8J0H1	A0A6P8J0H1_ACTTE	unreviewed	integrin alpha-D-like	LOC116305840	Actinia tenebrosa (Australian red waratah sea anemone)	280	integrin-mediated signaling pathway [GO:0007229]	GO:0007229
XP_031553275.1	A0A6P8HKZ0	A0A6P8HKZ0_ACTTE	unreviewed	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3-like isoform X4	LOC116290394	Actinia tenebrosa (Australian red waratah sea anemone)	423	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; glycosyltransferase activity [GO:0016757]	GO:0000139; GO:0016021; GO:0016757
XP_019627332.1	A0A6P4Z8C7	A0A6P4Z8C7_BRABE	unreviewed	tetratricopeptide repeat protein 8-like	LOC109472180	Branchiostoma belcheri (Amphioxus)	519	BBSome [GO:0034464]; non-motile cilium assembly [GO:1905515]	GO:0034464; GO:1905515
XP_031556980.1	A0A6P8HWE5	A0A6P8HWE5_ACTTE	unreviewed	Werner syndrome ATP-dependent helicase-like	LOC116293661	Actinia tenebrosa (Australian red waratah sea anemone)	220	ATP binding [GO:0005524]; helicase activity [GO:0004386]	GO:0004386; GO:0005524
XP_031562972.1	A0A6P8IBQ3	A0A6P8IBQ3_ACTTE	unreviewed	titin-like	LOC116298595	Actinia tenebrosa (Australian red waratah sea anemone)	1127		
XP_001626548.1	A7SPC1	A7SPC1_NEMVE	unreviewed	Ribosome biogenesis protein NSA2 homolog	v1g192015	Nematostella vectensis (Starlet sea anemone)	260	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]	GO:0000460; GO:0000470; GO:0005730; GO:0030687
XP_031557639.1	A0A6P8HMQ3	A0A6P8HMQ3_ACTTE	unreviewed	uncharacterized protein LOC116294225	LOC116294225	Actinia tenebrosa (Australian red waratah sea anemone)	438	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524
XP_031561324.1	A0A6P8HY81	A0A6P8HY81_ACTTE	unreviewed	uncharacterized protein LOC116297270	LOC116297270	Actinia tenebrosa (Australian red waratah sea anemone)	419	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
YP_009021179.1	W8QE68	W8QE68_9VIRU	unreviewed	Uncharacterized protein	AMIV_102	Anopheles minimus irodovirus	90		
XP_031563137.1	A0A6P8IBZ1	A0A6P8IBZ1_ACTTE	unreviewed	LOW QUALITY PROTEIN: tyrosinase-like	LOC116298734	Actinia tenebrosa (Australian red waratah sea anemone)	517	oxidoreductase activity [GO:0016491]	GO:0016491
XP_029294429.1	A0A6J2Q9C1	A0A6J2Q9C1_COTGO	unreviewed	THO complex subunit 4	alyref	Cottoperca gobio (Frogmouth) (Aphritis gobio)	274	RNA binding [GO:0003723]	GO:0003723
XP_031553273.1	A0A6P8HE00	A0A6P8HE00_ACTTE	unreviewed	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3-like isoform X3	LOC116290394	Actinia tenebrosa (Australian red waratah sea anemone)	425	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; glycosyltransferase activity [GO:0016757]	GO:0000139; GO:0016021; GO:0016757
XP_031552963.1	A0A6P8HD22	A0A6P8HD22_ACTTE	unreviewed	uncharacterized protein LOC116290115 isoform X1	LOC116290115	Actinia tenebrosa (Australian red waratah sea anemone)	828	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; biosynthetic process [GO:0009058]	GO:0009058; GO:0016747
XP_031549748.1	A0A6P8H283	A0A6P8H283_ACTTE	unreviewed	uncharacterized protein LOC116287238	LOC116287238	Actinia tenebrosa (Australian red waratah sea anemone)	324	nucleic acid binding [GO:0003676]	GO:0003676
XP_019640078.1	A0A6P4ZT81	A0A6P4ZT81_BRABE	unreviewed	DNA topoisomerase (EC 5.6.2.1)	LOC109481887	Branchiostoma belcheri (Amphioxus)	1029	chromosome [GO:0005694]; DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; zinc ion binding [GO:0008270]; DNA topological change [GO:0006265]	GO:0003677; GO:0003917; GO:0005694; GO:0006265; GO:0008270
WP_013304533.1	A4ATG0	A4ATG0_MARSH	unreviewed	Hypothetical glycine-rich protein	FB2170_16636	Maribacter sp. (strain HTCC2170 / KCCM 42371)	1232		
XP_013414204.1	A0A1S3JVX2	A0A1S3JVX2_LINUN	unreviewed	uncharacterized protein LOC106176382	LOC106176382	Lingula unguis	1267		
XP_031555283.1	A0A6P8HK64	A0A6P8HK64_ACTTE	unreviewed	uncharacterized protein LOC116292160	LOC116292160	Actinia tenebrosa (Australian red waratah sea anemone)	234		
WP_069185507.1	A0A1C3RBU8	A0A1C3RBU8_9PROT	unreviewed	Uncharacterized protein	MTBPR1_10003	Candidatus Terasakiella magnetica	12759	membrane [GO:0016020]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0007156; GO:0016020
XP_006000165.1	H3B1D3	H3B1D3_LATCH	unreviewed	Tetratricopeptide repeat protein 30	LOC102356032	Latimeria chalumnae (Coelacanth)	651	axonemal microtubule [GO:0005879]; motile cilium [GO:0031514]; tubulin-glycine ligase activity [GO:0070738]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; establishment of planar polarity [GO:0001736]; intraciliary transport [GO:0042073]; opsin transport [GO:0036372]; protein polyglutamylation [GO:0018095]	GO:0001736; GO:0005879; GO:0007368; GO:0018095; GO:0031514; GO:0036372; GO:0042073; GO:0060271; GO:0070738
XP_023392616.1	A0A6P6CYI4	A0A6P6CYI4_PTEVA	unreviewed	GATOR complex protein SEC13 (Protein SEC13 homolog)	SEC13	Pteropus vampyrus (Large flying fox)	443	COPII vesicle coat [GO:0030127]; lysosomal membrane [GO:0005765]; nuclear pore [GO:0005643]; structural molecule activity [GO:0005198]; COPII-coated vesicle budding [GO:0090114]; mRNA transport [GO:0051028]; positive regulation of TORC1 signaling [GO:1904263]; protein transport [GO:0015031]	GO:0005198; GO:0005643; GO:0005765; GO:0015031; GO:0030127; GO:0051028; GO:0090114; GO:1904263
XP_031565302.1	A0A6P8IEI8	A0A6P8IEI8_ACTTE	unreviewed	uncharacterized protein LOC116300558	LOC116300558	Actinia tenebrosa (Australian red waratah sea anemone)	402		
XP_031567566.1	A0A6P8IKS6	A0A6P8IKS6_ACTTE	unreviewed	MAM and LDL-receptor class A domain-containing protein 1-like	LOC116302414	Actinia tenebrosa (Australian red waratah sea anemone)	1375	membrane [GO:0016020]; metalloendopeptidase activity [GO:0004222]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	GO:0004222; GO:0004252; GO:0008270; GO:0016020
XP_026279690.1	A0A6J1SK23	A0A6J1SK23_FRAOC	unreviewed	collagen alpha-1(V) chain-like	LOC113207371	Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis)	1722	collagen trimer [GO:0005581]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581
XP_011671815.1	A0A7M7HIW8	A0A7M7HIW8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1482		
XP_031564107.1	A0A6P8IDB0	A0A6P8IDB0_ACTTE	unreviewed	collagen alpha-1(I) chain-like isoform X2	LOC116299574	Actinia tenebrosa (Australian red waratah sea anemone)	1641	collagen trimer [GO:0005581]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581
XP_036369231.1	A0A7E6FNG2	A0A7E6FNG2_OCTVU	unreviewed	insulin-like growth factor-binding protein complex acid labile subunit isoform X2	LOC115224387	Octopus vulgaris (Common octopus)	549		
XP_013381634.1	A0A1S3H933	A0A1S3H933_LINUN	unreviewed	Ras-related protein Rab-3	LOC106152563	Lingula unguis	245	plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; intracellular protein transport [GO:0006886]	GO:0003924; GO:0005525; GO:0005886; GO:0006886
XP_031553272.1	A0A6P8HKQ3	A0A6P8HKQ3_ACTTE	unreviewed	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3-like isoform X2	LOC116290394	Actinia tenebrosa (Australian red waratah sea anemone)	443	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; glycosyltransferase activity [GO:0016757]	GO:0000139; GO:0016021; GO:0016757
XP_031575309.1	A0A6P8J6D4	A0A6P8J6D4_ACTTE	unreviewed	Sodium/hydrogen exchanger	LOC116308929	Actinia tenebrosa (Australian red waratah sea anemone)	594	endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; sodium:proton antiporter activity [GO:0015385]; regulation of pH [GO:0006885]	GO:0006885; GO:0010008; GO:0015385; GO:0016021
XP_001627413.1	A7SLT6	A7SLT6_NEMVE	unreviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	v1g230495	Nematostella vectensis (Starlet sea anemone)	484	cytosol [GO:0005829]; NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; D-gluconate catabolic process [GO:0046177]; pentose-phosphate shunt, oxidative branch [GO:0009051]	GO:0004616; GO:0005829; GO:0009051; GO:0046177; GO:0050661
XP_031570265.1	A0A6P8IW09	A0A6P8IW09_ACTTE	unreviewed	uncharacterized protein LOC116304644	LOC116304644	Actinia tenebrosa (Australian red waratah sea anemone)	499		
XP_031550548.1	A0A6P8H4T2	A0A6P8H4T2_ACTTE	unreviewed	Tubulin beta chain	LOC116287972	Actinia tenebrosa (Australian red waratah sea anemone)	491	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017
XP_031549996.1	A0A6P8H3G6	A0A6P8H3G6_ACTTE	unreviewed	ADP-ribosylation factor-like protein 6	LOC116287454	Actinia tenebrosa (Australian red waratah sea anemone)	187	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
XP_031558667.1	A0A6P8I1A2	A0A6P8I1A2_ACTTE	unreviewed	uncharacterized protein LOC116295095	LOC116295095	Actinia tenebrosa (Australian red waratah sea anemone)	981		
XP_031566339.1	A0A6P8IHZ7	A0A6P8IHZ7_ACTTE	unreviewed	ubiquitin-conjugating enzyme E2 N	LOC116301426	Actinia tenebrosa (Australian red waratah sea anemone)	152	ATP binding [GO:0005524]; transferase activity [GO:0016740]	GO:0005524; GO:0016740
XP_031556748.1	A0A6P8HNX7	A0A6P8HNX7_ACTTE	unreviewed	uncharacterized protein LOC116293463	LOC116293463	Actinia tenebrosa (Australian red waratah sea anemone)	230		
XP_031548813.1	A0A6P8GZ75	A0A6P8GZ75_ACTTE	unreviewed	uncharacterized protein LOC116286439	LOC116286439	Actinia tenebrosa (Australian red waratah sea anemone)	399		
XP_017552350.1	A0A3B4BT43	A0A3B4BT43_PYGNA	unreviewed	Pre-mRNA processing factor 8		Pygocentrus nattereri (Red-bellied piranha)	2338	spliceosomal complex [GO:0005681]; isopeptidase activity [GO:0070122]; metallopeptidase activity [GO:0008237]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]; spliceosomal tri-snRNP complex assembly [GO:0000244]	GO:0000244; GO:0005681; GO:0008237; GO:0017070; GO:0030623; GO:0070122
XP_001629994.1	A7SED5	A7SED5_NEMVE	unreviewed	Predicted protein	v1g188859	Nematostella vectensis (Starlet sea anemone)	547	ligase activity [GO:0016874]	GO:0016874
XP_031562623.1	A0A6P8I421	A0A6P8I421_ACTTE	unreviewed	uncharacterized protein LOC116298347	LOC116298347	Actinia tenebrosa (Australian red waratah sea anemone)	334	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0016787; GO:0046872
XP_031554831.1	A0A6P8HG74	A0A6P8HG74_ACTTE	unreviewed	probable very-long-chain enoyl-CoA reductase art-1	LOC116291763	Actinia tenebrosa (Australian red waratah sea anemone)	331	integral component of membrane [GO:0016021]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; lipid metabolic process [GO:0006629]	GO:0006629; GO:0016021; GO:0016627
XP_026110190.1	A0A6P6NM99	A0A6P6NM99_CARAU	unreviewed	uncharacterized protein LOC113083135	LOC113083135	Carassius auratus (Goldfish)	912		
XP_001329422.1	A2DQT2	A2DQT2_TRIVA	unreviewed	Ankyrin repeat protein, putative	TVAG_291510	Trichomonas vaginalis	1489		
XP_031562338.1	A0A6P8I3C0	A0A6P8I3C0_ACTTE	unreviewed	galanin receptor type 1-like	LOC116298108	Actinia tenebrosa (Australian red waratah sea anemone)	372	integral component of membrane [GO:0016021]; neuropeptide Y receptor activity [GO:0004983]	GO:0004983; GO:0016021
XP_031556285.1	A0A6P8HU99	A0A6P8HU99_ACTTE	unreviewed	GPN-loop GTPase (EC 3.6.5.-)	LOC116293029	Actinia tenebrosa (Australian red waratah sea anemone)	374	cytoplasm [GO:0005737]; nucleus [GO:0005634]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525; GO:0005634; GO:0005737
XP_031566315.1	A0A6P8IHZ4	A0A6P8IHZ4_ACTTE	unreviewed	Metalloendopeptidase (EC 3.4.24.-)	LOC116301401	Actinia tenebrosa (Australian red waratah sea anemone)	315	extracellular region [GO:0005576]; nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]	GO:0004222; GO:0005576; GO:0008270; GO:0042151; GO:0090729
XP_002550650.1	C5MFV5	C5MFV5_CANTT	unreviewed	CFEM domain-containing protein	CTRG_04948	Candida tropicalis (strain ATCC MYA-3404 / T1) (Yeast)	1797	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; negative regulation of protein sumoylation [GO:0033234]	GO:0005509; GO:0016021; GO:0033234
XP_031572204.1	A0A6P8IYF8	A0A6P8IYF8_ACTTE	unreviewed	phospholipase A and acyltransferase 1-like	LOC116306311	Actinia tenebrosa (Australian red waratah sea anemone)	281	integral component of membrane [GO:0016021]; acyltransferase activity [GO:0016746]	GO:0016021; GO:0016746
XP_031557262.1	A0A6P8HXE9	A0A6P8HXE9_ACTTE	unreviewed	uncharacterized protein LOC116293907	LOC116293907	Actinia tenebrosa (Australian red waratah sea anemone)	580		
XP_013079178.1	A0A2C9JRJ0	A0A2C9JRJ0_BIOGL	unreviewed	Uncharacterized protein	106065007	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	189		
XP_019618386.1	A0A6P4Y1P7	A0A6P4Y1P7_BRABE	unreviewed	fibrillin-2-like isoform X48	LOC109465484	Branchiostoma belcheri (Amphioxus)	4053	calcium ion binding [GO:0005509]	GO:0005509
XP_031550112.1	A0A6P8HBP9	A0A6P8HBP9_ACTTE	unreviewed	T-complex protein 1 subunit delta	LOC116287567	Actinia tenebrosa (Australian red waratah sea anemone)	537	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	GO:0005524; GO:0005737; GO:0006457; GO:0051082
XP_013403482.1	A0A1S3IZ55	A0A1S3IZ55_LINUN	unreviewed	fibril-forming collagen alpha chain isoform X4	LOC106168812	Lingula unguis	1351	collagen trimer [GO:0005581]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581
XP_019636808.1	A0A6P4ZJ77	A0A6P4ZJ77_BRABE	unreviewed	Exonuclease 1 (EC 3.1.-.-)	LOC109479292	Branchiostoma belcheri (Amphioxus)	616	nucleus [GO:0005634]; 5'-3' exodeoxyribonuclease activity [GO:0035312]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]	GO:0003677; GO:0004519; GO:0005634; GO:0006281; GO:0035312; GO:0046872
XP_031555133.1	A0A6P8HJS0	A0A6P8HJS0_ACTTE	unreviewed	uncharacterized protein LOC116292034	LOC116292034	Actinia tenebrosa (Australian red waratah sea anemone)	824	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
XP_015661899.1	A0A0N0DY17	A0A0N0DY17_9TRYP	unreviewed	Uncharacterized protein	ABB37_03086	Leptomonas pyrrhocoris	358		
XP_031551794.1	A0A6P8H5Z4	A0A6P8H5Z4_ACTTE	unreviewed	zinc finger MYM-type protein 2-like	LOC116289046	Actinia tenebrosa (Australian red waratah sea anemone)	338		
XP_019625293.1	A0A6P4YLJ4	A0A6P4YLJ4_BRABE	unreviewed	uncharacterized protein LOC109470701	LOC109470701	Branchiostoma belcheri (Amphioxus)	2986		
XP_033240534.1	A0A6I8WD84	A0A6I8WD84_DROPS	unreviewed	mucin-2	LOC26533400	Drosophila pseudoobscura pseudoobscura (Fruit fly)	3503		
XP_031556647.1	A0A6P8HVM5	A0A6P8HVM5_ACTTE	unreviewed	uncharacterized protein LOC116293367	LOC116293367	Actinia tenebrosa (Australian red waratah sea anemone)	154		
XP_001641755.1	A7RG04	A7RG04_NEMVE	unreviewed	Predicted protein	v1g177378	Nematostella vectensis (Starlet sea anemone)	354	heterotrimeric G-protein complex [GO:0005834]; G protein-coupled receptor binding [GO:0001664]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]	GO:0001664; GO:0003924; GO:0005525; GO:0005834; GO:0007188; GO:0031683
XP_031560556.1	A0A6P8HZ39	A0A6P8HZ39_ACTTE	unreviewed	uncharacterized protein LOC116296642	LOC116296642	Actinia tenebrosa (Australian red waratah sea anemone)	277		
XP_026103607.1	A0A6P6N3M6	A0A6P6N3M6_CARAU	unreviewed	NACHT, LRR and PYD domains-containing protein 12-like isoform X1	LOC113075098	Carassius auratus (Goldfish)	1585		
XP_026095080.1	A0A6P6MEI3	A0A6P6MEI3_CARAU	unreviewed	uncharacterized protein LOC113067071 (uncharacterized protein LOC113067072)	LOC113067071 LOC113067072	Carassius auratus (Goldfish)	1414		
XP_031565678.1	A0A6P8IG70	A0A6P8IG70_ACTTE	unreviewed	uncharacterized protein LOC116300857	LOC116300857	Actinia tenebrosa (Australian red waratah sea anemone)	242	aminoacyltransferase activity [GO:0016755]	GO:0016755
XP_031553462.1	A0A6P8HLB2	A0A6P8HLB2_ACTTE	unreviewed	probable serine/threonine-protein kinase DDB_G0280717	LOC116290546	Actinia tenebrosa (Australian red waratah sea anemone)	326	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524
XP_013397766.1	A0A1S3IIQ4	A0A1S3IIQ4_LINUN	unreviewed	MAM and LDL-receptor class A domain-containing protein 2	LOC106164417	Lingula unguis	10784	integral component of membrane [GO:0016021]	GO:0016021
XP_031570979.1	A0A6P8IV73	A0A6P8IV73_ACTTE	unreviewed	fibrillin-1-like	LOC116305252	Actinia tenebrosa (Australian red waratah sea anemone)	1172	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021
XP_028152585.1	A0A6P7H9J7	A0A6P7H9J7_DIAVI	unreviewed	zinc finger protein 729-like	LOC114345984	Diabrotica virgifera virgifera (western corn rootworm)	1064		
XP_009061412.1	V3ZTT6	V3ZTT6_LOTGI	unreviewed	AB hydrolase-1 domain-containing protein	LOTGIDRAFT_219704	Lottia gigantea (Giant owl limpet)	397		
XP_031558148.1	A0A6P8HSH1	A0A6P8HSH1_ACTTE	unreviewed	THO complex subunit 2	LOC116294651	Actinia tenebrosa (Australian red waratah sea anemone)	1179	THO complex [GO:0000347]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]	GO:0000347; GO:0006397; GO:0006406
XP_031551741.1	A0A6P8H8B0	A0A6P8H8B0_ACTTE	unreviewed	uncharacterized protein F54H12.2-like	LOC116289010	Actinia tenebrosa (Australian red waratah sea anemone)	557	deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0009263
XP_031564295.1	A0A6P8IEI9	A0A6P8IEI9_ACTTE	unreviewed	carboxypeptidase B-like	LOC116299718	Actinia tenebrosa (Australian red waratah sea anemone)	330	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]	GO:0004181; GO:0008270
XP_026105960.1	A0A6P6N9R6	A0A6P6N9R6_CARAU	unreviewed	keratin-associated protein 5-1-like isoform X1	LOC113077911	Carassius auratus (Goldfish)	405	extracellular region [GO:0005576]; peptidase inhibitor activity [GO:0030414]	GO:0005576; GO:0030414
XP_013403484.1	A0A1S3J0Z7	A0A1S3J0Z7_LINUN	unreviewed	raftlin-like	LOC106168829	Lingula unguis	401	plasma membrane [GO:0005886]	GO:0005886
XP_031572317.1	A0A6P8IYR6	A0A6P8IYR6_ACTTE	unreviewed	uncharacterized protein LOC116306407	LOC116306407	Actinia tenebrosa (Australian red waratah sea anemone)	265		
XP_009167791.1	A0A074ZYR1	A0A074ZYR1_9TREM	unreviewed	Ricin B-type lectin domain-containing protein (Fragment)	T265_13568	Opisthorchis viverrini	839	integral component of membrane [GO:0016021]	GO:0016021
XP_031559463.1	A0A6P8HSU5	A0A6P8HSU5_ACTTE	unreviewed	ectin-like	LOC116295699	Actinia tenebrosa (Australian red waratah sea anemone)	264	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729
