yourlistU	UPA	Organisms	UniProtKB	First seen	Last seen	Length
XP_020612218.1	UPI0009E210AE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1125
XP_020610523.1	UPI0009E5B37C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	563
XP_015767027.1	UPI00077A8026	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	1107
XP_020604977.1	UPI0009E60B10	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1576
XP_027042868.1	UPI000F557EDC	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	496
XP_020630472.1	UPI0009E255C7	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	816
XP_022804600.1	UPI000C0446A4	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	383
XP_020618305.1	UPI0009E28219	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	524
XP_020604980.1	UPI0009E57F80	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1629
XP_029184638.1	UPI0010FC6CC6	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	503
XP_027053199.1	UPI000F3D3211	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TAE3; 	2018-11-13	2021-09-29	364
XP_020613138.1	UPI0009E1F8DC	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1447
XP_020613800.1	UPI0009E3B7C0	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1461
XP_027056525.1	UPI000F4015D4	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UXW7; 	2018-11-13	2021-09-29	423
XP_020607044.1	UPI0009E39EA2	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	234
XP_020602119.1	UPI0009E55CA0	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	300
XP_020605860.1	UPI0009E3B5E8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	303
XP_020616666.1	UPI0009E3E655	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	2343
XP_020609816.1	UPI0009E60913	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	322
XP_022781454.1	UPI000C03A639	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	1397
XP_020602547.1	UPI0009E56D1F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1152
XP_027059328.1	UPI000F552840	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1423
XP_020904036.1	UPI000A2A6BB2	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2017-05-13	2021-07-12	321
XP_015749620.1	UPI00077A587A	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	978
XP_022787216.1	UPI000C03B8FE	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	172
XP_022796784.1	UPI000C00EAE1	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RY41; 	2017-10-24	2021-09-29	342
XP_020617939.1	UPI0009E60EDA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	645
XP_015762338.1	UPI00077A3418	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	885
XP_020623278.1	UPI0009E2731E	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	214
XP_020620613.1	UPI0009E5C360	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	973
XP_022802878.1	UPI000C040E10	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	440
XP_020626344.1	UPI0009E2CFAE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1106
XP_020620691.1	UPI0009E3B4E3	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	804
XP_022799019.1	UPI000C043DEA	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	482
XP_020601027.1	UPI0009E1F3A6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	582
XP_027047675.1	UPI000F3B74AE	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TNS6; 	2018-11-13	2021-09-29	192
XP_015757655.1	UPI00077AA4E1	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	734
XP_027043056.1	UPI000F3C644B	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TZA5; 	2018-11-13	2021-09-29	517
XP_033624515.1	UPI001455716D	Asterias rubens (Common European starfish) (Asterias vulgaris)		2020-04-24	2021-07-12	2646
XP_027038655.1	UPI000F54FD2C	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	2791
XP_020630080.1	UPI0009E6235F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	276
XP_015755722.1	UPI00077A8E81	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	281
XP_022786804.1	UPI000C004F34	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4T0D1; 	2017-10-24	2021-09-29	911
XP_027055114.1	UPI000F41CBAE	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6T664; 	2018-11-13	2021-09-29	438
XP_027047677.1	UPI000F4155A9	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TNQ3; 	2018-11-13	2021-09-29	934
XP_020609283.1	UPI0009E3EDB4	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	873
XP_020623702.1	UPI0009E4BBAA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	480
XP_020615160.1	UPI0009E28C99	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	317
XP_022797961.1	UPI000C0109A1	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RXP2; 	2017-10-24	2021-09-29	628
XP_020608769.1	UPI0009E2B616	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	363
XP_020631618.1	UPI0009E38D28	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	606
XP_022797446.1	UPI000C046EB2	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	3143
XP_022800962.1	UPI000C053E17	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	258
XP_020630218.1	UPI0009E5953C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1194
XP_020607688.1	UPI0009E531AD	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	180
XP_020620169.1	UPI0009E249D5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	364
XP_022787175.1	UPI000C03E7C4	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	705
XP_020629601.1	UPI0009E4686D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	553
XP_020622919.1	UPI0009E1E9A3	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	675
XP_020630094.1	UPI0009E5ECEC	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	340
XP_022792954.1	UPI000C03D369	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	376
XP_020611844.1	UPI0009E469CB	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	477
XP_015779270.1	UPI00077A1343	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	376
XP_020607009.1	UPI0009E3B33C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	961
XP_027040507.1	UPI000F4072D3	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6U4M6; 	2018-11-13	2021-09-29	781
XP_022781611.1	UPI000C047377	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	771
XP_020605234.1	UPI0009E332EE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	765
XP_020616979.1	UPI0009E5EDC2	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	603
XP_041859650.1	UPI001C051F4D	Melanotaenia boesemani (Boeseman's rainbowfish)		2021-06-12	2021-07-12	431
XP_020612649.1	UPI0009E234ED	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	300
XP_022783358.1	UPI000C01E517	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4SJC5; 	2017-10-24	2021-09-29	116
XP_020616601.1	UPI0009E3D51D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	448
XP_020603302.1	UPI0009E4B99B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	316
XP_020907897.2	UPI00109BC692	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2019-04-18	2021-07-12	316
XP_027048689.1	UPI000F557DA2	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	753
XP_015766316.1	UPI00077A1EF0	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	465
XP_020621860.1	UPI0009E4006C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	112
XP_027043729.1	UPI000F55941D	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	117
XP_020600410.1	UPI0009E5D406	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	466
XP_020608245.1	UPI0009E359EC	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	340
XP_020619536.1	UPI0009E22140	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	452
XP_029206266.1	UPI0010FC8874	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	464
XP_020613468.1	UPI0009E541D9	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	674
XP_028408635.1	UPI00106B2F5A	Dendronephthya gigantea (Coral)		2019-03-30	2021-07-12	473
XP_020625796.1	UPI0009E59AC1	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	727
XP_037804839.1	UPI0018A7A851	Penaeus monodon (Giant tiger prawn)		2020-11-25	2021-07-12	418
XP_022804992.1	UPI000C041D65	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	863
XP_020606173.1	UPI0009E5F32D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	671
XP_022784489.1	UPI000C04E411	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	249
XP_015751175.1	UPI00077A6959	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	424
XP_020602020.1	UPI0009E5BCD6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1465
XP_020616246.1	UPI0009E4C4AA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	381
XP_020614855.1	UPI0009E5D7A7	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	404
XP_020619686.1	UPI0009E2BC2F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1592
XP_020618872.1	UPI0009E18E64	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	594
XP_020607109.1	UPI0009E44406	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1666
XP_020625815.1	UPI0009E56735	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	210
XP_020623688.1	UPI0009E46043	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	252
XP_027053296.1	UPI000F551981	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1141
XP_020631356.1	UPI0009E508B3	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	284
XP_022780302.1	UPI000C03F5B0	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	2839
XP_022787531.1	UPI000C0196D5	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4T2K0; 	2017-10-24	2021-09-29	904
XP_022786238.1	UPI000C051AD7	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	3748
XP_020630514.1	UPI0009E44282	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	380
XP_029184717.1	UPI0010FCD697	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	457
XP_022797658.1	UPI000C001ACA	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RY66; 	2017-10-24	2021-09-29	455
XP_015759991.1	UPI00077A42F9	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	679
XP_002742321.1	UPI0001CBC358	Saccoglossus kowalevskii (Acorn worm)		2010-03-20	2021-07-12	77
XP_022801611.1	UPI000C057536	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	116
XP_015750191.1	UPI00077AF454	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	364
XP_020615411.1	UPI0009E2CF1A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	608
XP_020622215.1	UPI0009E488A0	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	2732
XP_022797269.1	UPI000C056737	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	216
XP_020614538.1	UPI0009E629F6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	568
XP_020623444.1	UPI0009E5F39B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	392
XP_021785504.2	UPI0012AD35F3	Papio anubis (Olive baboon)		2019-11-21	2021-07-12	377
XP_015753667.1	UPI00077AC393	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	370
XP_020605257.1	UPI0009E6114C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1882
XP_020620330.1	UPI0009E2070D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	431
XP_020617653.1	UPI0009E4A4A1	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	271
XP_027049797.1	UPI000F54F26D	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	2450
XP_020627612.1	UPI0009E196EE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	378
XP_022792582.1	UPI000C047BF3	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	973
XP_022777917.1	UPI000C03964A	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	474
XP_015761482.1	UPI00077AA1CE	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	1113
XP_020632968.1	UPI0009E49134	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	611
XP_020603091.1	UPI0009E3B6C4	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	316
XP_022783430.1	UPI000C041836	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	1984
XP_027052927.1	UPI000F552325	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1013
XP_020630185.1	UPI0009E3A78F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	390
XP_020614850.1	UPI0009E379B0	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	500
XP_027049239.1	UPI000F55896B	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	2005
XP_027038699.1	UPI000F55118D	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	166
XP_027060485.1	UPI000F553148	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	518
XP_020616346.1	UPI0009E208A3	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1629
XP_020629744.1	UPI0009E579CF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	380
XP_027056334.1	UPI000F54DB6C	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	470
XP_027050634.1	UPI000F552A8E	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1224
XP_028514361.1	UPI00109B73AD	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2019-04-18	2021-07-12	4026
XP_020602833.1	UPI0009E2B3BA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	175
XP_020628037.1	UPI0009E58F8E	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	436
XP_020911390.2	UPI00109BA7AB	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2019-04-18	2021-07-12	355
XP_020602842.1	UPI0009E58FAF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	3693
XP_015770297.1	UPI00077A3621	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	523
XP_020631701.1	UPI0009E2214D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	869
XP_015765561.1	UPI00077A2230	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	545
XP_015766621.1	UPI00077ACAAE	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	328
WP_197717998.1	UPI000F6DDF4A	Staphylococcus delphini	A0A447YV07; 	2018-12-19	2021-09-29	2312
XP_020621514.1	UPI0009E1CC54	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	227
XP_020603418.1	UPI0009E3602D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	2250
XP_015755001.1	UPI00077A7D99	Acropora digitifera (Staghorn coral); Acropora millepora (Staghorn coral) (Heteropora millepora)		2016-03-15	2021-07-12	176
XP_022803215.1	UPI000C039DE2	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	223
XP_020608523.1	UPI0009E2A188	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	191
XP_020606345.1	UPI0009E1F6DD	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	754
XP_015749342.1	UPI00077AC4E7	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	536
XP_020603000.1	UPI0009E553E8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1629
XP_020604864.1	UPI0009E1B948	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	134
XP_020632469.1	UPI0009E61181	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	203
XP_015767716.1	UPI00077AB249	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	332
XP_020607741.1	UPI0009E611CC	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	141
XP_015776255.1	UPI00077A4CA6	Acropora digitifera (Staghorn coral); Acropora millepora (Staghorn coral) (Heteropora millepora)		2016-03-15	2021-07-12	123
XP_028417955.1	UPI00106A6473	Dendronephthya gigantea (Coral)		2019-03-30	2021-07-12	323
XP_020609654.1	UPI0009E38331	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	424
XP_015751945.1	UPI00077A9E68	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	369
XP_015760097.1	UPI00077AB117	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	166
XP_020616368.1	UPI0009E1BA18	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	252
XP_020623928.1	UPI0009E223D2	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	476
XP_027052366.1	UPI000F54CEE6	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	339
